GENENAME,UniprotID,Reviewed,Evidence,Features,Start,End,Descriptions
Col14a1,B7ZNH7,Unreviewed,protein,Domain,446,537,Fibronectin type-III
Col14a1,B7ZNH7,Unreviewed,protein,Domain,538,625,Fibronectin type-III
Col14a1,B7ZNH7,Unreviewed,protein,Domain,627,716,Fibronectin type-III
Col14a1,B7ZNH7,Unreviewed,protein,Domain,738,827,Fibronectin type-III
Col14a1,B7ZNH7,Unreviewed,protein,Domain,829,919,Fibronectin type-III
Col14a1,B7ZNH7,Unreviewed,protein,Domain,920,1011,Fibronectin type-III
Col14a1,B7ZNH7,Unreviewed,protein,Domain,1030,1203,VWFA
Col14a1,Q80X19,Reviewed,protein,Domain,32,122,Fibronectin type-III 1
Col14a1,Q80X19,Reviewed,protein,Domain,159,331,VWFA 1
Col14a1,Q80X19,Reviewed,protein,Domain,356,445,Fibronectin type-III 2
Col14a1,Q80X19,Reviewed,protein,Domain,446,537,Fibronectin type-III 3
Col14a1,Q80X19,Reviewed,protein,Domain,538,625,Fibronectin type-III 4
Col14a1,Q80X19,Reviewed,protein,Domain,627,716,Fibronectin type-III 5
Col14a1,Q80X19,Reviewed,protein,Domain,738,830,Fibronectin type-III 6
Col14a1,Q80X19,Reviewed,protein,Domain,832,922,Fibronectin type-III 7
Col14a1,Q80X19,Reviewed,protein,Domain,923,1014,Fibronectin type-III 8
Col14a1,Q80X19,Reviewed,protein,Domain,1033,1206,VWFA 2
Col14a1,Q80X19,Reviewed,protein,Domain,1230,1425,Laminin G-like
Col14a1,Q80X19,Reviewed,protein,Domain,1463,1511,Collagen-like 1
Col14a1,Q80X19,Reviewed,protein,Domain,1515,1571,Collagen-like 2
Col14a1,Q80X19,Reviewed,protein,Domain,1572,1610,Collagen-like 3
Col14a1,Q80X19,Reviewed,protein,Domain,1655,1706,Collagen-like 4
Col14a1,Q80X19,Reviewed,protein,Domain,1708,1758,Collagen-like 5
Col14a1,Q80X19,Reviewed,protein,Region,1218,1459,Nonhelical region (NC4)
Col14a1,Q80X19,Reviewed,protein,Region,1460,1611,Triple-helical region 1 (COL2)
Col14a1,Q80X19,Reviewed,protein,Region,1655,1780,Triple-helical region 2 (COL1)
Col14a1,Q80X19,Reviewed,protein,Motif,1608,1610,NA
Col22a1,E9Q7P1,Unreviewed,protein,Domain,47,222,VWFA
Col2a1,P28481,Reviewed,protein,Domain,32,89,VWFC
Col2a1,P28481,Reviewed,protein,Domain,1253,1487,Fibrillar collagen NC1
Col2a1,P28481,Reviewed,protein,Region,201,1214,Triple-helical region
Col2a1,P28481,Reviewed,protein,Region,1215,1241,Nonhelical region (C-terminal)
Commd5,Q8R395,Reviewed,protein,Domain,151,215,COMM
Cpne8,Q9DB19,NA,NA,NA,NA,NA,NA
Cpne8,Q9DC53,Reviewed,transcript,Domain,23,130,C2 1
Cpne8,Q9DC53,Reviewed,transcript,Domain,157,262,C2 2
Cpne8,Q9DC53,Reviewed,transcript,Domain,322,523,VWFA
Cpsf1,Q9EPU4,NA,NA,NA,NA,NA,NA
Cpt1b,Q924X2,Reviewed,protein,Region,555,567,Coenzyme A binding
Crebzf,Q91ZR3,Reviewed,protein,Domain,208,271,bZIP
Crebzf,Q91ZR3,Reviewed,protein,Region,223,230,Basic motif
Crebzf,Q91ZR3,Reviewed,protein,Region,236,271,Leucine-zipper
Crebzf,Q91ZR3,Reviewed,protein,Motif,307,310,HCFC1-binding motif (HBM)
Creld2,Q9CYA0,Reviewed,protein,Domain,134,176,EGF-like 1
Creld2,Q9CYA0,Reviewed,protein,Repeat,191,238,FU 1
Creld2,Q9CYA0,Reviewed,protein,Repeat,251,298,FU 2
Creld2,Q9CYA0,Reviewed,protein,Domain,288,329,EGF-like 2; calcium-binding
Crtc3,Q91X84,NA,NA,NA,NA,NA,NA
Csdc2,Q91YQ3,Reviewed,protein,Domain,69,136,CSD
Csf2rb,P26955,Reviewed,protein,Domain,136,243,Fibronectin type-III 1
Csf2rb,P26955,Reviewed,protein,Domain,343,439,Fibronectin type-III 2
Csf2rb,P26955,Reviewed,protein,Motif,428,432,WSXWS motif
Csf2rb,P26955,Reviewed,protein,Motif,477,485,Box 1 motif
Csf2rb2,Q3U1Z1,Unreviewed,transcript,Domain,234,329,Fibronectin type-III
Csf2rb2,P26954,Reviewed,protein,Domain,139,244,Fibronectin type-III 1
Csf2rb2,P26954,Reviewed,protein,Domain,343,438,Fibronectin type-III 2
Csf2rb2,P26954,Reviewed,protein,Motif,427,431,WSXWS motif
Csf2rb2,P26954,Reviewed,protein,Motif,476,484,Box 1 motif
Csf2rb2,P26954,Reviewed,protein,Compositional bias,27,30,Poly-Glu
Csf2rb2,P26954,Reviewed,protein,Compositional bias,137,140,Poly-Pro
Csnk1e,Q9JMK2,Reviewed,protein,Domain,9,277,Protein kinase
Csnk1e,Q3TYE1,Unreviewed,protein,Domain,9,277,Protein kinase
Csrnp2,Q8BGQ2,Reviewed,transcript,Compositional bias,213,251,Cys-rich
Ctsc,P97821,NA,NA,NA,NA,NA,NA
Ctsc,Q3UBY5,Unreviewed,protein,Domain,230,457,Pept_C1
Ctsc,Q8BQL3,Unreviewed,transcript,Domain,230,457,Pept_C1
Ctsc,Q3U7T5,Unreviewed,transcript,Domain,25,106,CathepsinC_exc
Cyb5r3,Q9DCN2,Reviewed,protein,Domain,40,152,FAD-binding FR-type
Cyhr1,H3BIV6,Unreviewed,protein,Domain,106,151,RING-type
Cyhr1,H3BIV6,Unreviewed,protein,Domain,152,210,TRAF-type
Cyhr1,Q9QXA1,Reviewed,protein,Zinc finger,17,63,RING-type; degenerate
Cyhr1,Q9QXA1,Reviewed,protein,Zinc finger,59,132,TRAF-type
Cyth4,Q3U0C0,Unreviewed,protein,Domain,54,241,SEC7
Cyth4,Q3U0C0,Unreviewed,protein,Domain,259,375,PH
Cyth4,Q3U0C0,Unreviewed,protein,Coiled coil,19,53,NA
Cyth4,Q3U6Y6,Unreviewed,transcript,Domain,54,241,SEC7
Cyth4,Q3U6Y6,Unreviewed,transcript,Domain,259,375,PH
Cyth4,Q3U6Y6,Unreviewed,transcript,Coiled coil,19,53,NA
Cyth4,Q3U8A6,Unreviewed,transcript,Domain,54,241,SEC7
Cyth4,Q3U8A6,Unreviewed,transcript,Domain,259,375,PH
Cyth4,Q3U8A6,Unreviewed,transcript,Coiled coil,19,53,NA
Cyth4,Q80YW0,Reviewed,protein,Domain,54,241,SEC7
Cyth4,Q80YW0,Reviewed,protein,Domain,259,375,PH
Cyth4,Q80YW0,Reviewed,protein,Region,268,275,"Phosphatidylinositol 3,4,5-trisphosphate binding"
Cyth4,Q80YW0,Reviewed,protein,Region,386,393,C-terminal autoinhibitory region
Cyth4,Q80YW0,Reviewed,protein,Coiled coil,13,56,NA
D15Ertd621e,B6YY24,Unreviewed,protein,Domain,8,312,FAM91_N
D15Ertd621e,B6YY24,Unreviewed,protein,Domain,375,820,FAM91_C
D15Ertd621e,Q3UVG3,NA,NA,NA,NA,NA,NA
Dbx2,F8VQH7,Unreviewed,inferred,Domain,224,284,Homeobox DNA-binding
Dbx2,Q8BZD0,Unreviewed,transcript,Domain,92,152,Homeobox DNA-binding
Dchs1,E9PVD3,Reviewed,protein,Domain,37,137,Cadherin 1
Dchs1,E9PVD3,Reviewed,protein,Domain,138,249,Cadherin 2
Dchs1,E9PVD3,Reviewed,protein,Domain,250,356,Cadherin 3
Dchs1,E9PVD3,Reviewed,protein,Domain,369,466,Cadherin 4
Dchs1,E9PVD3,Reviewed,protein,Domain,476,572,Cadherin 5
Dchs1,E9PVD3,Reviewed,protein,Domain,573,679,Cadherin 6
Dchs1,E9PVD3,Reviewed,protein,Domain,680,784,Cadherin 7
Dchs1,E9PVD3,Reviewed,protein,Domain,785,888,Cadherin 8
Dchs1,E9PVD3,Reviewed,protein,Domain,889,994,Cadherin 9
Dchs1,E9PVD3,Reviewed,protein,Domain,995,1105,Cadherin 10
Dchs1,E9PVD3,Reviewed,protein,Domain,1100,1205,Cadherin 11
Dchs1,E9PVD3,Reviewed,protein,Domain,1218,1317,Cadherin 12
Dchs1,E9PVD3,Reviewed,protein,Domain,1326,1429,Cadherin 13
Dchs1,E9PVD3,Reviewed,protein,Domain,1430,1539,Cadherin 14
Dchs1,E9PVD3,Reviewed,protein,Domain,1539,1642,Cadherin 15
Dchs1,E9PVD3,Reviewed,protein,Domain,1643,1744,Cadherin 16
Dchs1,E9PVD3,Reviewed,protein,Domain,1745,1848,Cadherin 17
Dchs1,E9PVD3,Reviewed,protein,Domain,1849,1953,Cadherin 18
Dchs1,E9PVD3,Reviewed,protein,Domain,1976,2061,Cadherin 19
Dchs1,E9PVD3,Reviewed,protein,Domain,2062,2164,Cadherin 20
Dchs1,E9PVD3,Reviewed,protein,Domain,2165,2270,Cadherin 21
Dchs1,E9PVD3,Reviewed,protein,Domain,2270,2369,Cadherin 22
Dchs1,E9PVD3,Reviewed,protein,Domain,2370,2475,Cadherin 23
Dchs1,E9PVD3,Reviewed,protein,Domain,2476,2595,Cadherin 24
Dchs1,E9PVD3,Reviewed,protein,Domain,2596,2699,Cadherin 25
Dchs1,E9PVD3,Reviewed,protein,Domain,2700,2806,Cadherin 26
Dchs1,E9PVD3,Reviewed,protein,Domain,2807,2926,Cadherin 27
Ddias,E9QLR9,Unreviewed,inferred,Domain,10,102,Rep_fac-A_C
Ddn,Q80TS7,Reviewed,protein,Region,113,131,Nuclear localization
Ddn,Q80TS7,Reviewed,protein,Region,186,236,Interaction with MAGI2
Ddn,Q80TS7,Reviewed,protein,Region,341,435,Interaction with ACTN1
Ddn,Q80TS7,Reviewed,protein,Region,407,708,Interaction with CD2AP and NPHS1
Ddn,Q80TS7,Reviewed,protein,Coiled coil,103,134,NA
Ddx23,D3Z0M9,Unreviewed,protein,Domain,390,418,Q_MOTIF
Ddx23,D3Z0M9,Unreviewed,protein,Domain,421,626,Helicase ATP-binding
Ddx23,D3Z0M9,Unreviewed,protein,Domain,650,798,Helicase C-terminal
Ddx23,D3Z0M9,Unreviewed,protein,Coiled coil,163,200,NA
Ddx23,D3Z0M9,Unreviewed,protein,Coiled coil,322,349,NA
Dennd3,A2RT67,Reviewed,protein,Domain,84,161,UDENN
Dennd3,A2RT67,Reviewed,protein,Domain,187,373,DENN
Dennd3,A2RT67,Reviewed,protein,Domain,436,499,dDENN
Dennd3,A2RT67,Reviewed,protein,Repeat,1025,1063,WD 1
Dennd3,A2RT67,Reviewed,protein,Repeat,1066,1107,WD 2
Dennd3,A2RT67,Reviewed,protein,Repeat,1241,1274,WD 3
Dennd6b,Q9D9V7,NA,NA,NA,NA,NA,NA
Deptor,B2ZRS7,Unreviewed,inferred,Domain,24,107,DEP
Deptor,B2ZRS7,Unreviewed,inferred,Domain,134,207,DEP
Deptor,B2ZRS7,Unreviewed,inferred,Domain,318,395,PDZ (DHR)
Deptor,Q570Y9,Reviewed,protein,Domain,36,119,DEP 1
Deptor,Q570Y9,Reviewed,protein,Domain,146,219,DEP 2
Deptor,Q570Y9,Reviewed,protein,Domain,330,407,PDZ
Deptor,Q570Y9,Reviewed,protein,Compositional bias,235,299,Ser-rich
Deptor,B2ZRS3,Unreviewed,inferred,Domain,36,119,DEP
Deptor,B2ZRS3,Unreviewed,inferred,Domain,146,219,DEP
Deptor,B2ZRS3,Unreviewed,inferred,Domain,330,407,PDZ (DHR)
Det1,Q9D0A0,NA,NA,NA,NA,NA,NA
Dgat1,Q54AA6,NA,NA,NA,NA,NA,NA
Dgat1,Q9Z2A7,Reviewed,protein,Region,1,100,Involved in homomerization
Dip2b,Q3UH60,Reviewed,protein,Domain,14,130,DMAP-interaction
Dip2b,Q3UH60,Reviewed,protein,Compositional bias,226,231,Poly-Ser
Dip2b,Q3UH60,Reviewed,protein,Compositional bias,1116,1119,Poly-Ala
Dip2b,Q3UH60,Reviewed,protein,Compositional bias,1501,1504,Poly-Val
Dip2b,Q3UH60,Reviewed,protein,Compositional bias,1532,1538,Poly-Val
Dip2b,B2RQC7,Unreviewed,protein,Domain,128,580,AMP-binding
Dip2b,B2RQC7,Unreviewed,protein,Domain,759,1233,AMP-binding
Dlg2,D3YWU0,Unreviewed,protein,Domain,18,99,PDZ (DHR)
Dlg2,D3YWU0,Unreviewed,protein,Domain,133,203,SH3
Dlg2,D3YWU0,Unreviewed,protein,Domain,291,466,Guanylate kinase-like
Dlg2,Q91XM9,Reviewed,protein,Domain,98,185,PDZ 1
Dlg2,Q91XM9,Reviewed,protein,Domain,193,280,PDZ 2
Dlg2,Q91XM9,Reviewed,protein,Domain,421,502,PDZ 3
Dlg2,Q91XM9,Reviewed,protein,Domain,536,606,SH3
Dlg2,Q91XM9,Reviewed,protein,Domain,662,837,Guanylate kinase-like
Dnajb7,Q9QYI8,Reviewed,transcript,Domain,3,69,J
Dnajc22,Q8CHS2,Reviewed,protein,Domain,277,339,J
Dnal4,Q9DCM4,NA,NA,NA,NA,NA,NA
Dnal4,Q8CDT8,NA,NA,NA,NA,NA,NA
Dscc1,Q14AI0,NA,NA,NA,NA,NA,NA
Dscc1,Q8C1P7,NA,NA,NA,NA,NA,NA
E230029C05Rik,NA,NA,NA,NA,NA,NA,NA
E430025E21Rik,Q8C2E7,NA,NA,NA,NA,NA,NA
Eef1d,P57776,Reviewed,protein,Region,80,115,Leucine-zipper
Eef1d,P57776,Reviewed,protein,Region,173,281,Catalytic (GEF)
Eef1d,Q80T06,Unreviewed,protein,Domain,195,281,EF1_GNE
Eef1d,Q80T06,Unreviewed,protein,Coiled coil,84,118,NA
Eef1d,Q91VK2,Unreviewed,protein,Domain,190,276,EF1_GNE
Eef1d,Q91VK2,Unreviewed,protein,Coiled coil,79,113,NA
Efcab6,Q6P1E8,Reviewed,protein,Domain,96,131,EF-hand 1
Efcab6,Q6P1E8,Reviewed,protein,Domain,197,232,EF-hand 2
Efcab6,Q6P1E8,Reviewed,protein,Domain,321,356,EF-hand 3
Efcab6,Q6P1E8,Reviewed,protein,Domain,427,462,EF-hand 4
Efcab6,Q6P1E8,Reviewed,protein,Domain,528,563,EF-hand 5
Efcab6,Q6P1E8,Reviewed,protein,Domain,655,690,EF-hand 6
Efcab6,Q6P1E8,Reviewed,protein,Domain,763,798,EF-hand 7
Efcab6,Q6P1E8,Reviewed,protein,Domain,905,940,EF-hand 8
Efcab6,Q6P1E8,Reviewed,protein,Domain,1086,1121,EF-hand 9
Efcab6,Q6P1E8,Reviewed,protein,Domain,1193,1228,EF-hand 10
Efcab6,Q6P1E8,Reviewed,protein,Domain,1229,1264,EF-hand 11
Efcab6,Q6P1E8,Reviewed,protein,Domain,1338,1373,EF-hand 12
Efcab6,Q6P1E8,Reviewed,protein,Domain,1374,1409,EF-hand 13
Efcab6,Q6P1E8,Reviewed,protein,Domain,1449,1484,EF-hand 14
Efcab6,Q6P1E8,Reviewed,protein,Domain,1485,1516,EF-hand 15
Efcab6,Q6P1E8,Reviewed,protein,Region,1318,1516,Interaction with PARK7
Efcab6,Q6P1E8,Reviewed,protein,Region,1422,1516,Interaction with AR
Efr3a,Q8BG67,NA,NA,NA,NA,NA,NA
Eftud1,Q8C0D5,Reviewed,protein,Domain,17,272,tr-type G
Eif3l,Q8QZY1,NA,NA,NA,NA,NA,NA
Elfn2,Q68FM6,Reviewed,protein,Repeat,56,77,LRR 1
Elfn2,Q68FM6,Reviewed,protein,Repeat,80,101,LRR 2
Elfn2,Q68FM6,Reviewed,protein,Repeat,104,125,LRR 3
Elfn2,Q68FM6,Reviewed,protein,Repeat,128,149,LRR 4
Elfn2,Q68FM6,Reviewed,protein,Repeat,152,173,LRR 5
Elfn2,Q68FM6,Reviewed,protein,Domain,185,247,LRRCT
Elfn2,Q68FM6,Reviewed,protein,Domain,292,379,Fibronectin type-III
Elfn2,Q68FM6,Reviewed,protein,Compositional bias,564,573,Poly-Gly
Elfn2,Q68FM6,Reviewed,protein,Compositional bias,692,696,Poly-Gly
Endou,Q3V188,Reviewed,transcript,Domain,20,63,SMB 1
Endou,Q3V188,Reviewed,transcript,Domain,85,128,SMB 2
Enpp2,Q9R1E6,Reviewed,protein,Domain,54,97,SMB 1
Enpp2,Q9R1E6,Reviewed,protein,Domain,98,142,SMB 2
Enpp2,Q9R1E6,Reviewed,protein,Region,144,501,Phosphodiesterase
Enpp2,Q9R1E6,Reviewed,protein,Region,210,213,Substrate binding
Enpp2,Q9R1E6,Reviewed,protein,Region,243,254,Substrate binding
Enpp2,Q9R1E6,Reviewed,protein,Region,597,862,Nuclease
Enpp2,Q9R1E6,Reviewed,protein,Region,829,850,Required for secretion
Enpp2,Q9R1E6,Reviewed,protein,Motif,126,128,NA
Enpp2,G3UXY9,Unreviewed,protein,Domain,54,97,SMB (somatomedin-B)
Enpp2,G3UXY9,Unreviewed,protein,Domain,98,142,SMB (somatomedin-B)
Enthd1,E9Q1Z2,Unreviewed,protein,Domain,9,141,ENTH (epsin N-terminal homology)
Ep300,B2RWS6,Reviewed,protein,Domain,567,646,KIX
Ep300,B2RWS6,Reviewed,protein,Domain,1066,1138,Bromo
Ep300,B2RWS6,Reviewed,protein,Domain,1286,1662,CBP/p300-type HAT
Ep300,B2RWS6,Reviewed,protein,Region,2,149,Interaction with RORA
Ep300,B2RWS6,Reviewed,protein,Region,2,139,Interaction with ALX1
Ep300,B2RWS6,Reviewed,protein,Region,1016,1028,CRD1; mediates transcriptional repression
Ep300,B2RWS6,Reviewed,protein,Region,1396,1398,Interaction with histone
Ep300,B2RWS6,Reviewed,protein,Region,1397,1399,Acetyl-CoA binding
Ep300,B2RWS6,Reviewed,protein,Region,1409,1410,Acetyl-CoA binding
Ep300,B2RWS6,Reviewed,protein,Region,2042,2237,Interaction with NCOA2
Ep300,B2RWS6,Reviewed,protein,Coiled coil,1510,1539,NA
Ep300,B2RWS6,Reviewed,protein,Motif,11,17,NA
Ep300,B2RWS6,Reviewed,protein,Compositional bias,660,942,Pro-rich
Ep300,B2RWS6,Reviewed,protein,Compositional bias,798,801,Poly-Ser
Ep300,B2RWS6,Reviewed,protein,Compositional bias,1518,1525,Poly-Glu
Ep300,B2RWS6,Reviewed,protein,Zinc finger,332,418,TAZ-type 1
Ep300,B2RWS6,Reviewed,protein,Zinc finger,1663,1706,ZZ-type
Ep300,B2RWS6,Reviewed,protein,Zinc finger,1727,1808,TAZ-type 2
Ep300,Q8BJ14,Unreviewed,transcript,Domain,332,418,TAZ-type
Ep300,Q8BJ14,Unreviewed,transcript,Domain,567,646,KIX
Eppk1,Q8R0W0,Reviewed,protein,Repeat,41,78,Plectin 1
Eppk1,Q8R0W0,Reviewed,protein,Repeat,79,116,Plectin 2
Eppk1,Q8R0W0,Reviewed,protein,Repeat,117,154,Plectin 3
Eppk1,Q8R0W0,Reviewed,protein,Repeat,155,192,Plectin 4
Eppk1,Q8R0W0,Reviewed,protein,Repeat,285,322,Plectin 5
Eppk1,Q8R0W0,Reviewed,protein,Repeat,323,360,Plectin 6
Eppk1,Q8R0W0,Reviewed,protein,Repeat,362,398,Plectin 7
Eppk1,Q8R0W0,Reviewed,protein,Repeat,399,436,Plectin 8
Eppk1,Q8R0W0,Reviewed,protein,Repeat,437,470,Plectin 9
Eppk1,Q8R0W0,Reviewed,protein,Repeat,611,648,Plectin 10
Eppk1,Q8R0W0,Reviewed,protein,Repeat,649,686,Plectin 11
Eppk1,Q8R0W0,Reviewed,protein,Repeat,687,724,Plectin 12
Eppk1,Q8R0W0,Reviewed,protein,Repeat,725,762,Plectin 13
Eppk1,Q8R0W0,Reviewed,protein,Repeat,766,800,Plectin 14
Eppk1,Q8R0W0,Reviewed,protein,Repeat,931,968,Plectin 15
Eppk1,Q8R0W0,Reviewed,protein,Repeat,969,1006,Plectin 16
Eppk1,Q8R0W0,Reviewed,protein,Repeat,1007,1044,Plectin 17
Eppk1,Q8R0W0,Reviewed,protein,Repeat,1224,1284,Plectin 18
Eppk1,Q8R0W0,Reviewed,protein,Repeat,1285,1322,Plectin 19
Eppk1,Q8R0W0,Reviewed,protein,Repeat,1323,1360,Plectin 20
Eppk1,Q8R0W0,Reviewed,protein,Repeat,1361,1398,Plectin 21
Eppk1,Q8R0W0,Reviewed,protein,Repeat,1402,1436,Plectin 22
Eppk1,Q8R0W0,Reviewed,protein,Repeat,1572,1609,Plectin 23
Eppk1,Q8R0W0,Reviewed,protein,Repeat,1610,1647,Plectin 24
Eppk1,Q8R0W0,Reviewed,protein,Repeat,1648,1685,Plectin 25
Eppk1,Q8R0W0,Reviewed,protein,Repeat,1686,1723,Plectin 26
Eppk1,Q8R0W0,Reviewed,protein,Repeat,1727,1761,Plectin 27
Eppk1,Q8R0W0,Reviewed,protein,Repeat,1898,1935,Plectin 28
Eppk1,Q8R0W0,Reviewed,protein,Repeat,1936,1973,Plectin 29
Eppk1,Q8R0W0,Reviewed,protein,Repeat,1974,2011,Plectin 30
Eppk1,Q8R0W0,Reviewed,protein,Repeat,2012,2049,Plectin 31
Eppk1,Q8R0W0,Reviewed,protein,Repeat,2225,2267,Plectin 32
Eppk1,Q8R0W0,Reviewed,protein,Repeat,2268,2305,Plectin 33
Eppk1,Q8R0W0,Reviewed,protein,Repeat,2306,2343,Plectin 34
Eppk1,Q8R0W0,Reviewed,protein,Repeat,2344,2381,Plectin 35
Eppk1,Q8R0W0,Reviewed,protein,Repeat,2385,2419,Plectin 36
Eppk1,Q8R0W0,Reviewed,protein,Repeat,2740,2782,Plectin 37
Eppk1,Q8R0W0,Reviewed,protein,Repeat,2783,2820,Plectin 38
Eppk1,Q8R0W0,Reviewed,protein,Repeat,2821,2858,Plectin 39
Eppk1,Q8R0W0,Reviewed,protein,Repeat,2859,2896,Plectin 40
Eppk1,Q8R0W0,Reviewed,protein,Repeat,2900,2934,Plectin 41
Eppk1,Q8R0W0,Reviewed,protein,Repeat,3255,3297,Plectin 42
Eppk1,Q8R0W0,Reviewed,protein,Repeat,3298,3335,Plectin 43
Eppk1,Q8R0W0,Reviewed,protein,Repeat,3336,3373,Plectin 44
Eppk1,Q8R0W0,Reviewed,protein,Repeat,3374,3411,Plectin 45
Eppk1,Q8R0W0,Reviewed,protein,Repeat,3415,3449,Plectin 46
Eppk1,Q8R0W0,Reviewed,protein,Repeat,3770,3812,Plectin 47
Eppk1,Q8R0W0,Reviewed,protein,Repeat,3813,3850,Plectin 48
Eppk1,Q8R0W0,Reviewed,protein,Repeat,3851,3888,Plectin 49
Eppk1,Q8R0W0,Reviewed,protein,Repeat,3889,3926,Plectin 50
Eppk1,Q8R0W0,Reviewed,protein,Repeat,3930,3964,Plectin 51
Eppk1,Q8R0W0,Reviewed,protein,Repeat,4285,4327,Plectin 52
Eppk1,Q8R0W0,Reviewed,protein,Repeat,4328,4365,Plectin 53
Eppk1,Q8R0W0,Reviewed,protein,Repeat,4366,4403,Plectin 54
Eppk1,Q8R0W0,Reviewed,protein,Repeat,4404,4441,Plectin 55
Eppk1,Q8R0W0,Reviewed,protein,Repeat,4445,4479,Plectin 56
Eppk1,Q8R0W0,Reviewed,protein,Repeat,4800,4842,Plectin 57
Eppk1,Q8R0W0,Reviewed,protein,Repeat,4843,4880,Plectin 58
Eppk1,Q8R0W0,Reviewed,protein,Repeat,4881,4918,Plectin 59
Eppk1,Q8R0W0,Reviewed,protein,Repeat,4919,4956,Plectin 60
Eppk1,Q8R0W0,Reviewed,protein,Repeat,4960,4994,Plectin 61
Eppk1,Q8R0W0,Reviewed,protein,Repeat,5315,5357,Plectin 62
Eppk1,Q8R0W0,Reviewed,protein,Repeat,5358,5395,Plectin 63
Eppk1,Q8R0W0,Reviewed,protein,Repeat,5396,5433,Plectin 64
Eppk1,Q8R0W0,Reviewed,protein,Repeat,5434,5471,Plectin 65
Eppk1,Q8R0W0,Reviewed,protein,Repeat,5475,5509,Plectin 66
Eppk1,Q8R0W0,Reviewed,protein,Repeat,5830,5872,Plectin 67
Eppk1,Q8R0W0,Reviewed,protein,Repeat,5873,5910,Plectin 68
Eppk1,Q8R0W0,Reviewed,protein,Repeat,5911,5948,Plectin 69
Eppk1,Q8R0W0,Reviewed,protein,Repeat,5949,5986,Plectin 70
Eppk1,Q8R0W0,Reviewed,protein,Repeat,5990,6024,Plectin 71
Eppk1,Q8R0W0,Reviewed,protein,Repeat,6345,6387,Plectin 72
Eppk1,Q8R0W0,Reviewed,protein,Repeat,6388,6425,Plectin 73
Eppk1,Q8R0W0,Reviewed,protein,Repeat,6426,6463,Plectin 74
Eppk1,Q8R0W0,Reviewed,protein,Repeat,6464,6501,Plectin 75
Eppk1,Q8R0W0,Reviewed,protein,Repeat,6505,6539,Plectin 76
Eppk1,Q8R0W0,Reviewed,protein,Coiled coil,545,565,NA
Eppk1,Q8R0W0,Reviewed,protein,Coiled coil,851,886,NA
Eppk1,Q8R0W0,Reviewed,protein,Coiled coil,1819,1851,NA
Exosc4,Q542B0,Unreviewed,protein,Domain,21,152,RNase_PH
Exosc4,Q542B0,Unreviewed,protein,Domain,156,219,RNase_PH_C
Exosc4,Q921I9,NA,NA,NA,NA,NA,NA
Ext1,P97464,Reviewed,protein,Region,544,549,Substrate binding
Ext1,P97464,Reviewed,protein,Region,565,567,Substrate binding
Ext1,P97464,Reviewed,protein,Region,650,654,Substrate binding
Ext1,P97464,Reviewed,protein,Region,688,701,Substrate binding
Ext1,Q3V1P4,Unreviewed,protein,Domain,480,729,Glyco_transf_64
Faim2,Q8K097,NA,NA,NA,NA,NA,NA
Fam109b,Q14B98,Reviewed,protein,Domain,17,121,PH
Fam109b,Q14B98,Reviewed,protein,Coiled coil,124,150,NA
Fam109b,Q14B98,Reviewed,protein,Motif,223,235,F&H
Fam118a,Q91YN1,NA,NA,NA,NA,NA,NA
Fam135b,Q9DAI6,NA,NA,NA,NA,NA,NA
Fam160a2,Q3U2I3,NA,NA,NA,NA,NA,NA
Fam160a2,J3QP99,NA,NA,NA,NA,NA,NA
Fam169b,Q8CHT6,NA,NA,NA,NA,NA,NA
Fam174b,Q8K064,NA,NA,NA,NA,NA,NA
Fam186b,D3Z420,NA,NA,NA,NA,NA,NA
Fam227a,Q8CA61,NA,NA,NA,NA,NA,NA
Fam227a,Q9D3V8,Unreviewed,transcript,Coiled coil,504,528,NA
Fam83a,Q8K2P2,NA,NA,NA,NA,NA,NA
Fam83f,Q3UKU4,NA,NA,NA,NA,NA,NA
Fam83h,Q148V8,Reviewed,protein,Region,1,286,Mediates interaction with CSNK1A1 and is required for FAM83H activity in keratin cytoskeleton organization
Fam84b,D3YXJ5,Unreviewed,protein,Domain,115,149,LRAT
Fam84b,D3YXJ5,Unreviewed,protein,Domain,150,213,LRAT
Fanci,Q8K368,NA,NA,NA,NA,NA,NA
Fbxl6,Q9QXW0,Reviewed,transcript,Domain,54,106,F-box
Fbxl6,Q9QXW0,Reviewed,transcript,Repeat,169,195,LRR 1
Fbxl6,Q9QXW0,Reviewed,transcript,Repeat,196,221,LRR 2
Fbxl6,Q9QXW0,Reviewed,transcript,Repeat,222,247,LRR 3
Fbxl6,Q9QXW0,Reviewed,transcript,Repeat,273,299,LRR 4
Fbxl6,Q9QXW0,Reviewed,transcript,Repeat,304,329,LRR 5
Fbxl6,Q9QXW0,Reviewed,transcript,Repeat,330,357,LRR 6
Fbxl6,Q9QXW0,Reviewed,transcript,Repeat,360,385,LRR 7
Fbxl6,Q9QXW0,Reviewed,transcript,Repeat,386,411,LRR 8
Fbxl6,Q9QXW0,Reviewed,transcript,Repeat,415,441,LRR 9
Fbxl6,Q9QXW0,Reviewed,transcript,Repeat,474,499,LRR 10
Fchsd2,Q3USJ8,Reviewed,protein,Domain,8,282,F-BAR
Fchsd2,Q3USJ8,Reviewed,protein,Domain,469,530,SH3 1
Fchsd2,Q3USJ8,Reviewed,protein,Domain,567,629,SH3 2
